Latitude,Longitude,Label,Year,Image_URL
48.884943,2.337073,Rue des Abbesses 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078415_001.jpg?itok=YQP0oipR
48.884943,2.337073,Rue des Abbesses 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078416_001.jpg?itok=ABZCpvC2
48.884943,2.337073,Rue des Abbesses 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078417_001.jpg?itok=XRg1yOEv
48.889111,2.3401,Rue des Saules 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078418_001.jpg?itok=TfN-Jkkk
48.857891,2.334613,Quai Malaquais 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078499_001.jpg?itok=OeSgPaaP
48.857891,2.334613,Quai Malaquais 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078500_001.jpg?itok=-rd0T19M
48.889111,2.3401,Rue des Saules 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078420_001.jpg?itok=6Zw8Rb0I
48.857891,2.334613,Quai Malaquais 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078501_001.jpg?itok=tu0OyBFj
48.889111,2.3401,Rue des Saules 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078419_001.jpg?itok=POy1tgC0
48.857891,2.334613,Quai Malaquais 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078502_001.jpg?itok=NHP9Uf6k
48.889111,2.3401,Rue des Saules 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078421_001.jpg?itok=HPVLzZ4u
48.884943,2.337073,Rue des Abbesses 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078422_001.jpg?itok=ILMuqEYN
48.857891,2.334613,Quai Malaquais 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078503_001.jpg?itok=_YjiY5xb
48.884943,2.337073,Rue des Abbesses 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078423_001.jpg?itok=TfGhZsvB
48.857891,2.334613,Quai Malaquais 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078504_001.jpg?itok=_4i9c-f2
48.853055,2.336722,Boulevard Saint-Germain 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078505_001.jpg?itok=UB2A235W
48.85329,2.333406,Rue Bonaparte 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078507_001.jpg?itok=F7BOBoRc
48.88403,2.333462,Rue Puget 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078426_001.jpg?itok=riddMyk6
48.88403,2.333462,Rue Puget 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078427_001.jpg?itok=RpiWcQb5
48.85479,2.333643,40 Rue Bonaparte 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078513_001.jpg?itok=P-lfAd4E
48.85479,2.333643,40 Rue Bonaparte 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078514_001.jpg?itok=fNh6slDN
48.885895,2.33487,Rue Lepic 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078430_001.jpg?itok=AuVtIaSY
48.85329,2.333406,Rue Bonaparte 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078516_001.jpg?itok=DOAlW4ee
48.894674,2.347077,Boulevard Ornano 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078432_001.jpg?itok=so4iXiSx
48.885895,2.33487,Rue Lepic 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078431_001.jpg?itok=SdtZipMu
48.894674,2.347077,Boulevard Ornano 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078379_001.jpg?itok=Syf35gAL
48.894674,2.347077,Boulevard Ornano 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078380_001.jpg?itok=IdV2sj9n
48.894674,2.347077,Boulevard Ornano 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078381_001.jpg?itok=uqScAHhP
48.889069,2.348432,Rue Labat 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078385_001.jpg?itok=XzyGF6Dm
48.889069,2.348432,Rue Labat 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078386_001.jpg?itok=iBYzJPKE
48.894674,2.347077,Boulevard Ornano 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078387_001.jpg?itok=yRuWK6Wo
48.894674,2.347077,Boulevard Ornano 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078388_001.jpg?itok=GT5iGJez
48.889069,2.348432,Rue Labat 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078391_001.jpg?itok=1vCZPVgB
48.889069,2.348432,Rue Labat 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078392_001.jpg?itok=rNZFz9RJ
48.846959,2.329535,Rue de Fleurus 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078473_001.jpg?itok=1sxgg57G
48.889069,2.348432,Rue Labat 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078395_001.jpg?itok=HIT3HAe5
